,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
717,The Goo Goo Dolls,1933,,279,1,3,07.09.22
438,The Black Keys,2995,1036,199,0,5,03.09.22
285,Capital Bra,4317,673,276,0,9,07.08.22
217,Muse,5181,6,253,0,11,10.09.22
416,Sam Feldt,3107,174,173,0,6,31.07.22
494,The Beach Boys,2687,5360,1528,0,7,08.08.22
76,DaBaby,9326,4757,157,2,18,18.09.22
836,YUNGBLUD,1703,463,92,0,2,04.09.22
573,Ice Cube,2344,287,292,0,5,31.07.22
507,Hillsong UNITED,2599,141,366,0,2,01.08.22
130,Metro Boomin,7262,209,118,1,18,31.07.22
39,J. Cole,14849,3309,137,1,39,20.09.22
422,Hillsong Worship,3062,699,847,0,4,31.07.22
582,Casper Magico,2324,194,95,0,5,31.07.22
454,Maria Becerra,2921,1360,43,0,6,20.09.22
