,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
617,Los Tigres Del Norte,2195,182,639,0,1,31.07.22
796,Martin Solveig,1772,8,246,0,5,31.07.22
443,El Alfa,2966,3,193,0,9,16.09.22
107,Little Mix,8025,12,205,0,21,20.09.22
813,Lil Dicky,1741,127,23,0,5,31.07.22
124,Green Day,7403,,374,0,13,16.09.22
165,50 Cent,6248,2758,185,0,14,16.09.22
892,Tyler Childers,1575,31,62,0,5,26.08.22
989,Ben&Ben,1437,17,57,0,4,31.08.22
646,Chase Atlantic,2105,11,75,0,4,31.07.22
103,Trippie Redd,8169,3237,197,0,24,15.09.22
108,Macklemore,7934,83,103,1,13,20.09.22
351,Céline Dion,3626,952,492,0,9,20.09.22
887,Gavin James,1589,67,119,0,3,31.07.22
521,Matoma,2555,300,126,0,5,31.07.22
763,Oliver Tree,1839,47,63,0,4,31.08.22
676,Miracle Tones,2031,,126,0,0,31.07.22
233,Felix Jaehn,4901,194,172,1,12,31.07.22
152,The Kid LAROI,6647,847,49,1,16,16.09.22
327,Calibre 50,3859,1117,226,0,10,25.08.22
706,Timmy Trumpet,1954,104,183,0,3,31.07.22
251,Cheat Codes,4629,313,151,0,7,31.07.22
893,Brett Young,1574,18,70,0,4,31.07.22
968,Counting Crows,1473,4,192,0,3,15.08.22
614,Danna Paola,2212,72,103,0,6,19.09.22
833,Tiago PZK,1709,332,58,0,4,26.08.22
362,Lil Mosey,3517,463,50,1,5,31.07.22
604,ODESZA,2251,128,170,0,4,31.07.22
109,ZAYN,7926,238,85,3,16,18.09.22
329,Matheus & Kauan,3831,62,179,0,12,12.09.22
432,NLE Choppa,3018,,125,0,5,25.08.22
198,Henrique & Juliano,5466,812,177,0,14,12.09.22
885,The Score,1590,2,66,0,5,31.07.22
754,Blueface,1856,617,98,0,4,18.09.22
200,Elvis Presley,5442,5,1855,0,11,03.09.22
539,Van Halen,2466,,207,0,6,19.09.22
89,Lil Nas X,8778,,34,3,11,16.09.22
336,The Offspring,3713,4310,159,0,7,13.08.22
960,Talking Heads,1484,,215,0,3,04.09.22
316,Tones And I,3957,5,33,1,5,17.09.22
536,Kid Ink,2489,2816,198,0,8,31.07.22
822,Yusuf / Cat Stevens,1726,19,332,0,5,16.09.22
728,Alice In Chains,1902,,162,0,5,03.09.22
354,Alejandro Sanz,3592,,380,0,6,31.07.22
888,Lenny Kravitz,1586,58,269,0,4,05.08.22
770,Burna Boy,1821,1671,174,0,4,19.09.22
440,Mike Posner,2987,5692,183,1,4,26.08.22
618,Gryffin,2193,482,146,0,6,31.07.22
236,Dalex,4871,1036,129,0,15,03.09.22
900,Kiiara,1561,289,73,0,3,04.09.22
417,Iron Maiden,3103,5,426,0,7,19.09.22
858,Jasmine Thompson,1651,959,116,0,3,31.07.22
346,Jeremih,3674,543,140,0,8,24.08.22
594,George Strait,2293,36,444,0,2,31.07.22
797,Nicki Nicole,1771,466,49,0,3,16.09.22
158,Disney,6480,819,529,0,14,31.07.22
814,Intocable,1741,20,317,0,2,14.08.22
129,DJ Khaled,7262,195,186,1,14,02.09.22
631,Astrid S,2145,131,107,0,5,04.09.22
473,C. Tangana,2808,98,81,0,9,18.09.22
772,Chayanne,1817,144,236,0,5,31.07.22
912,Lykke Li,1549,100,105,0,4,31.07.22
367,Pablo Alborán,3437,47,173,0,8,16.09.22
593,Red Velvet,2293,14,131,0,5,19.09.22
855,Dominic Fike,1660,138,30,0,3,31.07.22
928,Pusha T,1530,1669,123,0,2,05.08.22
338,Three Days Grace,3698,937,96,0,8,31.07.22
463,Mabel,2874,463,145,0,7,30.08.22
253,Creedence Clearwater Revival,4623,,145,0,11,23.08.22
23,Maroon 5,19952,,240,7,31,17.09.22
945,Alina Baraz,1506,29,76,0,3,09.08.22
511,Jimi Hendrix,2585,1,506,0,5,19.09.22
489,George Michael,2703,6192,185,0,4,19.09.22
459,Juan Gabriel,2901,137,482,0,5,31.07.22
785,LUDMILLA,1799,466,178,0,2,19.09.22
140,JAY-Z,6923,5959,306,0,13,17.09.22
286,Lil Tjay,4313,1884,65,0,11,31.07.22
543,The Cranberries,2460,2,264,0,4,27.08.22
456,Why Don't We,2917,,99,0,8,19.08.22
649,Powfu,2092,186,73,1,1,31.07.22
392,LANY,3270,2141,86,0,8,17.08.22
391,R3HAB,3274,540,336,0,4,31.07.22
795,Oliver Heldens,1773,253,145,0,3,31.07.22
974,Lupe Fiasco,1458,284,182,0,3,20.09.22
204,Labrinth,5408,396,149,0,14,31.07.22
344,Dan + Shay,3680,231,73,0,9,03.08.22
545,All Time Low,2459,1,212,0,2,31.07.22
268,Nickelback,4469,,150,0,12,06.09.22
431,Los Ángeles Azules,3020,876,303,0,6,15.08.22
837,Summer Cem,1702,341,200,0,2,31.07.22
697,Cosculluela,1973,1068,159,0,5,31.07.22
592,Axwell /\ Ingrosso,2295,,47,1,5,31.07.22
853,Los Bukis,1665,7,252,0,1,31.07.22
297,Stevie Wonder,4196,301,657,0,11,11.09.22
864,Sasha Alex Sloan,1637,356,55,0,3,13.09.22
1001,Icona Pop,1426,222,121,0,3,31.07.22
172,Polo G,6136,2095,75,0,14,31.07.22
368,2 Chainz,3429,5081,409,0,7,31.07.22
133,BLACKPINK,7206,526,103,0,22,19.09.22
369,Train,3423,,185,1,8,31.07.22
541,The Fray,2463,4,98,0,5,31.07.22
335,Prince Royce,3724,,127,0,10,31.07.22
713,Olly Murs,1946,47,179,0,4,16.09.22
345,Rex Orange County,3678,138,58,0,8,11.09.22
757,Lady A,1850,138,229,0,5,31.07.22
64,Shakira,10782,1255,232,1,25,19.09.22
183,The Killers,5774,,213,1,11,18.09.22
232,Sean Paul,4910,3853,400,0,10,31.07.22
961,Bruno Martini,1482,27,105,0,4,26.08.22
798,Darell,1768,4780,133,0,4,31.07.22
737,Trevor Daniel,1893,207,50,1,2,31.07.22
499,Aminé,2661,301,72,0,4,06.08.22
548,Damso,2448,761,95,0,1,15.09.22
100,Logic,8221,1940,193,1,14,11.09.22
678,Westlife,2026,,231,0,3,09.09.22
895,Dadju,1570,449,112,0,1,31.07.22
964,Wu-Tang Clan,1479,15,351,0,2,31.07.22
406,Becky Hill,3194,396,195,0,10,16.09.22
475,Ludovico Einaudi,2791,25,565,0,5,31.07.22
462,The Cure,2882,1,545,0,6,14.08.22
905,King Von,1557,158,78,0,3,31.07.22
809,MKTO,1746,14,29,0,2,31.07.22
992,Melim,1435,89,85,0,3,26.08.22
342,Don Toliver,3686,3,66,1,5,05.09.22
88,Ellie Goulding,8826,639,167,1,16,06.09.22
587,Tom Odell,2313,43,131,1,3,10.09.22
501,AJR,2649,163,86,0,5,18.08.22
522,Years & Years,2550,90,112,0,7,31.07.22
208,Morgan Wallen,5345,521,60,0,17,13.09.22
267,Arcangel,4475,5081,244,0,11,11.08.22
956,Gloria Trevi,1493,179,278,0,2,19.09.22
421,Joan Sebastian,3063,39,506,0,8,31.07.22
941,Natiruts,1510,21,216,0,1,31.07.22
826,Simple Plan,1719,2,128,0,4,05.09.22
924,Beach House,1537,2,107,0,2,06.09.22
31,Queen,16557,35,557,4,24,20.09.22
876,Bill Withers,1616,423,120,0,4,31.07.22
877,Camila,1614,118,100,0,4,31.07.22
9,Post Malone,29832,2728,98,9,57,19.09.22
859,Willie Nelson,1649,312,1571,0,4,31.07.22
742,Calle 13,1883,131,81,0,5,31.07.22
538,Natanael Cano,2475,225,135,0,6,12.09.22
113,"Tyler, The Creator",7852,1592,154,0,21,18.09.22
891,Ramin Djawadi,1576,,1024,0,1,09.08.22
611,Goodboys,2225,5,44,0,4,31.07.22
20,Khalid,20973,2923,119,7,40,15.09.22
546,DNCE,2458,54,36,1,4,31.07.22
127,SZA,7269,2147,49,2,18,19.09.22
553,Juan Magán,2428,871,208,0,5,31.07.22
195,Daft Punk,5551,3320,190,0,12,24.08.22
883,Jowell & Randy,1598,882,173,0,3,31.07.22
491,De La Ghetto,2695,302,158,0,7,31.07.22
576,League of Legends,2340,1934,495,0,6,18.09.22
235,Justin Quiles,4878,4310,163,0,14,31.07.22
211,Rita Ora,5257,709,133,0,14,19.09.22
681,Elevation Worship,2019,22,255,0,2,31.07.22
874,AURORA,1620,392,105,0,3,17.09.22
442,Korn,2968,1690,293,0,5,05.09.22
219,Jack Johnson,5176,39,190,0,9,07.09.22
843,Bullet For My Valentine,1694,,177,0,2,23.08.22
4,The Weeknd,34767,4288,186,8,72,19.09.22
483,KHEA,2743,517,81,0,9,18.09.22
193,blink-182,5568,66,185,0,10,14.09.22
987,The All-American Rejects,1439,,86,0,4,31.07.22
105,Tyga,8136,4144,303,1,20,31.07.22
215,Melanie Martinez,5194,5,58,0,17,19.09.22
51,Twenty One Pilots,12949,,90,3,36,18.09.22
527,Nelly Furtado,2534,287,211,0,6,15.09.22
951,Thiaguinho,1498,225,249,0,0,31.07.22
578,Lofi Fruits Music,2329,106,1010,0,0,31.07.22
985,Pabllo Vittar,1440,307,125,0,2,24.08.22
350,Ricardo Arjona,3629,,341,0,3,31.07.22
143,Bebe Rexha,6836,3954,113,2,14,13.09.22
381,Bryan Adams,3365,739,394,0,8,10.09.22
434,Journey,3008,3853,278,1,5,17.09.22
832,Wolfgang Amadeus Mozart,1712,5,11475,0,0,31.07.22
414,Offset,3141,156,53,1,7,15.09.22
848,Bea Miller,1675,1164,42,0,4,18.08.22
395,La Arrolladora Banda El Limón De Rene Camacho,3236,,332,0,5,21.08.22
453,Lunay,2925,313,59,0,9,18.08.22
365,Nelly,3464,62,211,0,9,15.09.22
257,Alesso,4597,137,129,0,10,13.08.22
81,Cardi B,9066,6163,70,2,18,17.09.22
427,alt-J,3025,,145,0,8,31.07.22
310,YG,4034,,198,0,8,31.07.22
262,Whitney Houston,4519,14,282,0,9,19.09.22
570,Gerardo Ortiz,2362,564,257,0,3,31.07.22
946,Lauren Daigle,1506,145,67,0,3,31.07.22
986,Kelly Rowland,1439,614,126,0,3,16.08.22
467,Jesse & Joy,2856,,124,0,11,20.09.22
730,John Lennon,1900,5,498,0,3,16.08.22
117,NF,7715,135,81,1,18,12.09.22
274,Glee Cast,4375,,723,0,0,23.08.22
821,Mother Mother,1726,,142,0,5,31.07.22
524,Jon Bellion,2543,344,84,0,5,31.07.22
993,Jacquees,1433,297,120,0,2,13.09.22
662,Leon Bridges,2064,809,78,0,5,31.07.22
307,Pearl Jam,4052,77,2127,0,9,31.07.22
530,T-Pain,2522,3095,215,0,8,31.07.22
90,Major Lazer,8758,614,269,3,14,05.09.22
702,DMX,1959,264,304,0,4,31.07.22
942,TLC,1510,235,173,0,3,09.09.22
254,Florence + The Machine,4614,,160,0,9,18.09.22
311,Amy Winehouse,4024,1656,157,0,7,17.09.22
300,Maná,4119,63,220,0,12,18.08.22
122,Romeo Santos,7485,1125,146,0,21,16.09.22
399,Fetty Wap,3217,1097,138,0,7,06.08.22
861,Yellow Claw,1646,88,263,0,2,31.07.22
476,Depeche Mode,2784,,709,0,3,08.09.22
991,ONE OK ROCK,1436,2,129,0,1,10.09.22
343,Conan Gray,3684,1427,35,0,10,15.09.22
126,Nirvana,7295,1,347,1,14,19.09.22
374,Foster The People,3393,25,96,1,7,31.07.22
925,Snakehips,1537,114,80,0,3,31.07.22
80,Pop Smoke,9097,930,99,0,19,06.09.22
132,Bob Marley & The Wailers,7206,56,618,0,13,29.08.22
894,BØRNS,1573,17,44,0,3,31.07.22
904,Pink Sweat$,1558,58,57,0,3,31.07.22
458,A$AP Ferg,2903,,96,0,6,11.09.22
279,Kehlani,4361,2028,124,0,10,09.08.22
451,Bon Iver,2928,,50,0,7,31.07.22
55,Avicii,12484,456,248,3,18,20.09.22
726,La Oreja de Van Gogh,1912,66,183,0,3,31.07.22
657,David Bisbal,2078,432,248,0,4,03.08.22
827,Sofía Reyes,1719,226,61,0,3,10.09.22
97,AC/DC,8283,,313,3,10,19.09.22
914,Lil Kleine,1549,347,120,0,0,16.09.22
638,Dolly Parton,2122,173,978,0,4,09.08.22
277,Lil Durk,4367,3009,359,0,6,17.09.22
272,Galantis,4427,102,243,0,8,31.07.22
237,Duki,4869,937,147,0,13,12.09.22
637,Rascal Flatts,2124,53,248,0,5,31.07.22
608,Mustard,2234,1986,74,0,4,31.07.22
455,Carly Rae Jepsen,2921,,141,0,5,19.09.22
228,Bazzi,4941,62,39,0,12,31.07.22
563,Rag'n'Bone Man,2382,79,138,0,3,31.07.22
721,MAX,1929,143,144,0,5,10.09.22
68,Nicky Jam,9861,9052,220,0,27,31.07.22
765,CRO,1837,186,163,0,2,19.08.22
694,Apache 207,1977,126,46,0,5,31.07.22
544,Black Sabbath,2459,13,286,0,4,07.09.22
41,Anuel AA,14364,4592,160,1,35,19.09.22
21,Rihanna,20761,6677,278,2,46,19.09.22
708,Thirty Seconds To Mars,1954,47,84,0,4,04.09.22
988,Jack & Jack,1438,45,43,0,2,31.07.22
818,Tech N9ne,1733,664,451,0,2,31.07.22
739,Louis Armstrong,1888,16,2311,0,4,31.07.22
589,Chencho Corleone,2307,1850,21,0,6,11.09.22
61,Arctic Monkeys,11249,,134,1,24,19.09.22
408,Sigala,3182,77,118,0,9,31.07.22
187,French Montana,5687,3407,672,1,11,05.08.22
769,Michael Silverman,1827,,972,0,0,31.07.22
540,Limp Bizkit,2466,3,134,0,6,01.08.22
567,The White Stripes,2377,,172,1,3,11.08.22
250,6LACK,4650,952,79,0,10,03.09.22
1005,Gotye,1424,10,46,1,1,31.07.22
517,TOTO,2575,3,391,1,4,08.08.22
339,Wesley Safadão,3698,5692,283,0,6,31.07.22
134,Machine Gun Kelly,7175,1017,141,0,14,15.09.22
370,Passenger,3415,184,233,1,2,31.07.22
767,ANAVITÓRIA,1836,247,79,0,3,18.09.22
731,Los Temerarios,1899,,322,0,0,06.08.22
226,6ix9ine,4988,1117,57,0,16,14.09.22
911,Ofenbach,1550,104,83,0,4,31.07.22
506,"Earth, Wind & Fire",2606,93,385,1,5,18.08.22
191,Meek Mill,5609,1900,440,0,9,12.09.22
418,Zac Brown Band,3100,39,141,0,7,31.07.22
40,Nicki Minaj,14744,10558,171,2,35,19.09.22
799,CHVRCHES,1766,5,118,0,2,14.09.22
634,TOMORROW X TOGETHER,2136,,69,0,6,10.09.22
341,The Strokes,3688,1690,82,0,6,07.08.22
793,Mike Perry,1784,26,54,0,3,31.07.22
93,Lil Peep,8691,335,104,0,23,18.09.22
221,Troye Sivan,5103,873,105,0,12,19.09.22
197,Jorge & Mateus,5486,1108,280,0,11,12.09.22
470,Bradley Cooper,2832,,12,1,4,18.09.22
950,Mc Don Juan,1500,567,155,0,3,31.07.22
972,Tom Petty and the Heartbreakers,1463,3,248,0,3,03.09.22
623,Alan Jackson,2168,90,269,0,2,11.08.22
389,Pentatonix,3285,4,201,0,2,12.09.22
334,Yandel,3731,194,175,0,9,31.07.22
407,Sam Hunt,3189,2403,61,0,8,31.07.22
849,Nipsey Hussle,1669,270,277,0,3,31.07.22
779,Matuê,1805,243,33,0,6,31.08.22
741,Shania Twain,1885,182,187,0,4,17.09.22
815,Sin Bandera,1738,124,124,0,6,31.07.22
188,Tory Lanez,5657,2622,256,0,12,08.09.22
756,Yo Gotti,1852,1311,494,0,2,31.07.22
935,Andrea Bocelli,1518,63,592,0,3,08.09.22
990,The Head And The Heart,1436,,95,0,4,31.07.22
293,Aerosmith,4219,,318,0,9,17.09.22
306,Lil Pump,4054,2403,74,0,10,31.07.22
734,Snow Patrol,1897,,191,0,3,09.08.22
564,Shaggy,2381,477,433,0,5,31.07.22
740,Beret,1887,54,50,0,3,31.07.22
897,Olivia O'Brien,1567,1463,55,0,3,05.08.22
161,Russ,6409,120,368,0,14,31.08.22
11,J Balvin,25892,9950,242,3,66,19.09.22
886,Los Enanitos Verdes,1589,8,190,0,4,14.09.22
603,Nas,2255,890,339,0,4,04.09.22
66,Miley Cyrus,9940,931,197,1,17,18.09.22
146,Fleetwood Mac,6753,,768,1,11,13.09.22
378,Daniel Caesar,3387,3009,37,0,8,31.07.22
206,Frank Sinatra,5382,77,2171,0,13,14.08.22
802,Gente De Zona,1756,1403,126,0,3,31.07.22
168,Ava Max,6182,222,105,1,15,19.09.22
308,James Bay,4051,1957,90,0,9,12.08.22
145,Enrique Iglesias,6764,340,282,0,13,18.09.22
383,Trey Songz,3357,1295,268,0,7,16.09.22
896,Audioslave,1568,,72,0,5,31.07.22
131,Justin Timberlake,7225,2167,172,1,13,18.09.22
423,Kali Uchis,3055,873,67,0,4,20.09.22
3,Ed Sheeran,38153,2791,240,10,62,19.09.22
36,The Chainsmokers,15484,400,197,4,27,13.09.22
509,Nick Jonas,2588,56,95,0,8,20.09.22
137,Anne-Marie,6995,797,136,3,12,19.09.22
746,Incubus,1872,2,229,0,3,31.07.22
154,Flo Rida,6555,1786,229,0,11,31.07.22
37,Chris Brown,15440,7787,427,0,38,19.09.22
410,Jhené Aiko,3178,521,114,0,7,19.09.22
18,XXXTENTACION,21726,2664,144,7,44,18.09.22
496,Bibi und Tina,2680,,3509,0,0,30.06.22
584,Evanescence,2320,,110,0,4,12.09.22
718,Aloe Blacc,1930,251,217,0,4,31.07.22
474,MEDUZA,2806,102,55,0,5,31.07.22
903,Alvaro Soler,1558,46,101,0,4,31.07.22
194,Led Zeppelin,5554,,241,0,13,18.09.22
954,MF DOOM,1494,102,424,0,2,31.07.22
806,Baby Keem,1748,64,51,0,3,04.09.22
79,Panic! At The Disco,9107,669,146,1,20,06.09.22
834,Pineapple StormTv,1707,154,215,0,3,31.07.22
667,Ruth B.,2057,,48,0,5,31.07.22
632,TKKG,2141,,4398,0,0,31.07.22
969,Marracash,1472,534,196,0,0,20.08.22
899,Banda Los Recoditos,1564,19,252,0,2,01.08.22
748,Mon Laferte,1867,328,143,0,4,31.08.22
419,Jax Jones,3080,6,89,0,12,31.07.22
450,Mau y Ricky,2936,1808,66,0,6,31.07.22
22,Travis Scott,20566,9662,113,4,49,17.09.22
162,Luis Fonsi,6388,444,187,2,10,11.08.22
841,La Adictiva Banda San José de Mesillas,1695,44,128,0,4,31.07.22
65,Demi Lovato,10668,1425,251,1,23,19.09.22
403,Bibi Blocksberg,3207,43,5203,0,0,08.07.22
675,Santa Fe Klan,2039,541,217,0,5,18.08.22
1007,Duke Dumont,1422,24,121,0,2,31.07.22
1002,Dustin Lynch,1426,11,83,0,4,07.08.22
898,Sleepy Hallow,1566,291,64,0,2,31.07.22
28,Calvin Harris,17820,419,238,3,29,03.09.22
214,Tame Impala,5214,174,101,1,11,20.09.22
256,My Chemical Romance,4607,,139,0,11,14.09.22
477,Destiny's Child,2775,85,183,0,8,17.09.22
465,Papa Roach,2861,3118,236,0,4,31.07.22
880,KALEO,1609,,29,0,3,31.07.22
160,Jonas Blue,6422,111,165,0,9,31.07.22
875,Wallows,1617,,50,0,5,31.07.22
449,Maren Morris,2940,24,68,1,6,31.07.22
665,Stromae,2062,60,57,0,4,12.08.22
452,RAF Camora,2926,952,369,0,5,31.07.22
72,Charlie Puth,9570,231,109,3,14,20.09.22
782,Dynoro,1804,,18,1,4,31.07.22
643,Two Door Cinema Club,2112,1,142,0,4,12.08.22
119,5 Seconds of Summer,7672,523,165,1,14,19.09.22
889,Tungevaag,1584,5,82,0,5,31.07.22
347,benny blanco,3661,2887,23,1,7,04.09.22
644,Hardwell,2109,360,462,0,1,31.07.22
622,Sum 41,2172,7,128,0,5,31.07.22
901,Mr. Probz,1559,237,36,0,4,19.09.22
670,Jaden,2050,1460,110,0,2,31.07.22
881,Tracy Chapman,1603,86,102,0,4,18.08.22
220,The Notorious B.I.G.,5171,699,185,0,12,31.07.22
480,Eric Church,2759,29,286,0,4,31.07.22
85,Olivia Rodrigo,8954,1,37,2,13,19.09.22
579,Prince,2327,3,835,0,5,24.08.22
182,Big Sean,5791,6189,153,0,13,04.09.22
791,Ben Howard,1790,1,60,0,4,20.09.22
106,James Arthur,8094,77,147,1,14,18.09.22
500,Normani,2658,1097,17,1,4,12.09.22
56,Lana Del Rey,12457,801,166,0,37,19.09.22
149,Pink Floyd,6714,,436,0,13,16.09.22
639,3 Doors Down,2122,,144,0,3,31.07.22
415,Stray Kids,3120,544,169,0,5,19.09.22
633,Sido,2141,522,368,0,2,31.07.22
720,Willy William,1930,355,82,1,3,31.07.22
180,Skrillex,5881,1640,149,0,14,31.07.22
52,Rauw Alejandro,12914,1924,182,0,34,18.09.22
684,Portugal. The Man,2003,50,195,1,1,31.07.22
922,Toby Keith,1539,22,302,0,4,12.08.22
515,Milky Chance,2580,8,88,1,4,31.07.22
786,Sean Kingston,1798,150,142,0,5,31.07.22
318,Backstreet Boys,3949,6,145,1,8,18.09.22
913,Cher,1549,14,399,0,3,19.09.22
630,Sleeping At Last,2146,,298,0,5,01.08.22
63,Red Hot Chili Peppers,11005,,266,0,17,18.09.22
115,A$AP Rocky,7788,5156,99,0,19,20.09.22
141,Marília Mendonça,6909,1549,122,0,23,20.09.22
304,Hans Zimmer,4092,119,1545,0,3,31.07.22
609,PnB Rock,2228,1859,116,0,5,12.09.22
492,Nacho,2692,540,151,0,8,26.08.22
260,The Script,4553,1,99,1,8,12.09.22
218,Gucci Mane,5179,4905,2117,0,5,17.08.22
240,Julia Michaels,4811,1690,65,1,7,16.09.22
216,TWICE,5181,39,220,0,13,17.09.22
701,Gigi D'Agostino,1961,1,423,1,3,31.07.22
575,Swedish House Mafia,2340,12,58,0,6,31.07.22
789,Jon Pardi,1793,161,78,0,5,05.09.22
169,Jhay Cortez,6170,1249,82,1,11,20.08.22
96,Elton John,8437,318,936,1,17,19.09.22
179,Mariah Carey,5888,401,660,1,12,20.09.22
210,Megan Thee Stallion,5274,1656,131,1,12,19.09.22
457,Vicente Fernández,2910,2478,865,0,4,31.07.22
863,will.i.am,1641,2159,103,0,5,20.08.22
867,deadmau5,1633,85,456,0,1,31.07.22
735,beabadoobee,1893,12,76,1,2,06.09.22
45,Sia,13601,3054,323,2,26,19.09.22
962,Supertramp,1480,,119,0,4,23.08.22
780,Natalia Lafourcade,1805,936,183,0,4,02.09.22
439,Liam Payne,2990,937,51,0,8,19.09.22
43,The Beatles,14001,,792,0,39,19.09.22
17,Imagine Dragons,21812,65,189,4,41,19.09.22
902,Sufjan Stevens,1559,48,439,0,3,09.09.22
764,John Newman,1839,386,95,0,4,31.07.22
810,Mambo Kingz,1745,2499,37,0,5,31.07.22
766,PNAU,1837,4,113,1,3,18.09.22
78,Mac Miller,9187,699,221,0,21,13.09.22
781,Mora,1805,348,76,0,2,16.08.22
402,John Williams,3211,247,2410,0,2,31.07.22
321,Dr. Dre,3941,699,75,0,8,19.09.22
999,Empire of the Sun,1428,230,108,0,3,31.07.22
249,Kings of Leon,4669,,121,0,8,18.09.22
413,Marvin Gaye,3143,709,750,0,7,31.07.22
270,Lenny Tavárez,4449,3924,94,0,10,31.07.22
583,José José,2323,149,525,0,2,31.07.22
755,Nat King Cole,1853,8,1129,0,3,31.07.22
324,Lizzo,3911,,79,0,8,12.09.22
305,NAV,4088,396,117,0,10,08.09.22
591,Bryant Myers,2296,2211,102,0,5,31.07.22
231,Morat,4919,436,74,0,15,31.08.22
50,Linkin Park,12970,47,350,2,30,18.09.22
602,Scorpions,2257,,345,0,5,05.09.22
280,Kevin Gates,4359,739,314,0,6,07.08.22
762,Dean Martin,1839,11,696,0,5,31.07.22
15,Coldplay,22214,,299,5,34,20.09.22
322,Miguel,3933,873,145,0,8,31.07.22
820,Rich Brian,1727,624,57,0,4,19.09.22
958,Maggie Lindemann,1492,3,40,0,2,19.09.22
705,Desiigner,1955,548,55,1,2,31.07.22
394,PARTYNEXTDOOR,3243,,80,0,9,31.07.22
58,Doja Cat,11973,1669,85,3,25,19.09.22
281,Niall Horan,4338,517,69,0,11,19.09.22
135,blackbear,7107,1743,162,1,14,22.08.22
819,Arcade Fire,1731,,113,0,3,31.07.22
844,Selena,1693,2,149,0,6,01.09.22
965,Vince Staples,1478,583,97,0,2,09.08.22
596,Carrie Underwood,2287,390,170,0,3,18.09.22
487,Norah Jones,2714,673,297,0,4,11.08.22
112,Kodak Black,7853,1969,243,0,16,19.09.22
773,a-ha,1815,,401,1,1,31.07.22
636,Banda El Recodo,2127,2,601,0,3,01.08.22
978,ZHU,1450,53,120,0,2,31.07.22
353,Måneskin,3603,1360,33,1,7,19.09.22
599,girl in red,2264,6,29,0,6,15.09.22
534,Rick Ross,2491,4970,340,0,4,31.07.22
409,Carlos Vives,3181,1957,276,0,6,31.07.22
241,Rammstein,4781,3,245,0,10,27.08.22
337,24kGoldn,3705,1036,62,1,7,31.07.22
177,Banda MS de Sergio Lizárraga,5924,5,216,0,19,31.07.22
317,Kesha,3955,39,139,0,10,15.09.22
650,Bethel Music,2092,,312,0,0,31.07.22
673,Ms. Lauryn Hill,2040,353,89,0,5,11.08.22
184,Alessia Cara,5768,2748,138,2,8,04.09.22
812,IU,1743,105,165,0,4,18.09.22
176,David Bowie,5960,35,1315,1,12,13.09.22
320,Flume,3942,39,145,0,9,31.07.22
352,Ninho,3614,313,146,0,4,31.07.22
377,Alec Benjamin,3389,2245,46,1,8,26.08.22
469,SAINt JHN,2841,5081,55,1,3,31.07.22
920,Kris Kross Amsterdam,1540,11,45,0,2,31.07.22
82,Sech,9011,2900,123,0,25,31.07.22
313,YNW Melly,3991,156,83,0,9,31.07.22
190,Manuel Turizo,5610,2311,66,0,17,26.08.22
167,Gorillaz,6243,1,283,0,11,17.09.22
677,Regard,2029,,42,1,4,31.07.22
441,Weezer,2970,606,271,0,4,24.08.22
326,ROSALÍA,3871,,61,0,8,20.09.22
136,Black Eyed Peas,7055,88,213,0,13,18.09.22
309,Disturbed,4034,521,173,0,6,31.07.22
787,Guaynaa,1797,132,64,0,5,31.07.22
92,Wiz Khalifa,8695,7040,461,1,19,18.09.22
48,Marshmello,13049,641,163,4,19,15.09.22
627,Marilyn Manson,2156,56,227,0,4,31.07.22
703,Bruno & Marrone,1959,230,428,0,2,31.07.22
948,Pixies,1505,,856,0,3,04.09.22
435,The Vamps,3006,194,148,0,8,31.07.22
838,Sade,1701,1,113,0,4,05.09.22
983,Gustavo Mioto,1444,72,119,0,4,31.07.22
856,Kungs,1657,29,65,0,3,31.07.22
29,Kendrick Lamar,17650,8647,121,2,41,19.09.22
312,Wisin & Yandel,4004,709,293,0,12,31.07.22
532,Stormzy,2500,997,69,0,7,21.08.22
612,KISS,2222,,510,0,4,17.08.22
230,Oasis,4924,,237,1,7,19.09.22
125,$uicideboy$,7392,255,313,0,13,18.09.22
387,Rels B,3327,1884,107,0,5,31.07.22
635,Colbie Caillat,2133,126,105,0,4,15.09.22
484,EXO,2725,1295,309,0,6,19.09.22
242,Alicia Keys,4777,1427,253,0,8,17.09.22
825,Greeicy,1720,50,60,0,5,31.08.22
569,Mac DeMarco,2366,75,150,0,4,18.09.22
656,MC Kevinho,2082,296,74,0,5,31.07.22
493,bbno$,2691,2141,149,0,3,18.09.22
54,Kygo,12519,1133,107,1,30,09.09.22
654,Noriel,2083,1469,94,0,4,31.07.22
13,Billie Eilish,23684,,65,4,47,20.09.22
698,Keane,1971,,197,0,2,31.07.22
560,Kodaline,2386,283,125,0,4,05.09.22
658,Pharrell Williams,2077,6537,110,1,3,31.07.22
361,Steve Aoki,3527,1,437,0,6,31.07.22
302,Ryan Lewis,4110,43,33,1,6,31.07.22
411,Rudimental,3160,,208,0,6,31.07.22
626,Ella Mai,2161,334,52,0,6,11.09.22
