,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
45600,3noxajjedyBfsd5eXjBwxC,yutaka hirasaka,heavenly tone,a beautiful day,35,296000,False,0.65,0.396,4,-11.051,1,0.0364,0.979,0.866,0.0992,0.303,89.999,4,guitar
45601,4992uwyEYOstUKzPgdPVR3,Nelson Gomes,Valsa e Vinho,Valsa e Vinho,49,158794,False,0.65,0.0708,2,-16.557,1,0.0643,0.994,0.929,0.0966,0.111,118.121,3,guitar
45602,4eXW1h9YbjYEy4i6jUdUX2,Maneli Jamal;Nylonwings,The Air Between Us,The Air Between Us,32,147000,False,0.529,0.252,5,-15.412,1,0.042,0.944,0.859,0.106,0.317,84.828,4,guitar
45603,11jFSuok2S4g04ziCBd44w,R.B James,Let Me Reach That Mountain,Let Me Reach That Mountain,46,211500,False,0.704,0.111,9,-19.914,0,0.0599,0.925,0.889,0.106,0.179,74.969,4,guitar
45604,7jlzy8nv1enKoQqgOBzshW,Casper Esmann,Billie Jean (Acoustic Instrumental),Billie Jean - Acoustic Instrumental,40,291000,False,0.419,0.341,11,-13.72,0,0.0317,0.322,0.914,0.0786,0.179,152.958,3,guitar
45605,0iTyIMFWbaSxNrcT5Dau0X,Guus Dielissen,Leave The Door Open (Acoustic Instrumental),Leave The Door Open - Acoustic Instrumental,42,225864,False,0.39,0.282,0,-16.724,1,0.0396,0.91,0.923,0.111,0.397,78.161,4,guitar
45606,1nyxHNRjeyTlJQwsLMH7C0,Anna Kitkowska,Anna Kitkowska,Love Me Like You Do,42,198208,False,0.635,0.231,11,-12.608,0,0.0419,0.939,0.947,0.0925,0.321,144.229,4,guitar
45607,3F4NgQVGxdlszT0YCpk1Md,Guus Dielissen,Let Her Go (Instrumental Guitar),Let Her Go (Instrumental Guitar),35,251381,False,0.25,0.218,7,-18.038,1,0.0475,0.773,0.889,0.1,0.29,153.735,4,guitar
45608,0ZSFjbcjmMccbJbWouNRxR,Tobias Berntsson,Your Song,Your Song,49,234083,False,0.717,0.188,0,-13.905,1,0.0513,0.973,0.862,0.11,0.399,107.985,4,guitar
45609,70LA1qeP7w3yVVbW1R56IA,Tomas Hilber,Game of Thrones Theme,Game of Thrones Theme,41,142659,False,0.814,0.114,0,-19.22,0,0.0635,0.979,0.969,0.111,0.383,120.244,3,guitar
45610,04vpVveiJZ0bqkwCBBpEth,Agustín Amigó,My Heart Will Go On (Acoustic),My Heart Will Go On - Acoustic,43,181500,False,0.409,0.157,6,-13.157,1,0.0884,0.956,0.854,0.11,0.275,178.844,4,guitar
45611,4QxyrDsqSvopT6GauAb2IE,Regina Costa,Quien Como Tu,Quien Como Tu,22,176886,False,0.771,0.143,8,-13.835,1,0.0476,0.968,0.000232,0.107,0.278,106.17,4,guitar
45612,3d8oIEIdoU2ZWVmiGvdGCE,Tommy Emmanuel,Endless Road,Angelina,44,218973,False,0.591,0.145,9,-18.428,1,0.0343,0.928,0.523,0.108,0.265,127.261,4,guitar
45613,6bJjjnfcE55MIfg6lZiRUs,Eddie van der Meer,Cover Songs #6,Believer,29,213374,False,0.485,0.628,10,-5.32,0,0.0395,0.328,0.933,0.0821,0.368,126.874,4,guitar
45614,1y5iaPQLBJQDLGwpvTcBoj,Noriyasu Takeuchi,JPOPギターベスト2,今夜月の見える丘に,23,273586,False,0.553,0.0659,4,-19.94,0,0.061,0.991,0.954,0.11,0.298,141.546,4,guitar
45615,0m6U4YTD6HNxEtMTOhNQgX,Kenichi Ebe,ギターソロ ボサノバ・ベスト~イパネマの娘,マシュケナダ,23,171773,False,0.519,0.0874,4,-23.828,0,0.0486,0.954,0.926,0.11,0.595,88.783,4,guitar
45616,4VMQ52kwhOECEsDGstxyBj,Laurindo Almeida;William Chapman Nyaho,Kete - Piano Music of Africa and the African Diaspora,Lament in Tremelo Form,36,267400,False,0.419,0.00981,2,-29.496,0,0.036,0.996,0.936,0.0839,0.203,102.591,3,guitar
45617,6t9q7owmdBEYaePgV8u4kG,William Luna,Hasta el Final,Mantaro,24,260653,False,0.607,0.584,2,-7.353,1,0.0368,0.0636,6.5e-05,0.495,0.874,102.021,4,guitar
45618,5j1OMxXvI2cngr7mW6whZE,Edwin Montoya,Mis Éxitos Eternos Vol. 1,Te Lloraré,24,211253,False,0.685,0.558,10,-10.049,1,0.0544,0.759,0.0254,0.146,0.74,83.874,4,guitar
45619,5ZrO7a3eyM5JWnkV4dGzas,Mikis Theodorakis;Miltos Pashalidis,Romiosini,Tosa Chronia,24,264401,False,0.41,0.382,11,-8.346,0,0.028,0.861,0.0,0.353,0.159,88.196,4,guitar
45620,6ITNRagpLcw79jH8gkiyBS,Pat Metheny,What's It All About,And I Love Her,51,262106,False,0.621,0.113,2,-16.842,0,0.0491,0.97,0.834,0.116,0.203,107.75,4,guitar
45621,6Uv7ZVWoZojKmaQH7pC2pX,Manuel Silva,Lo Mejor de Manuel Silva: Pinchincucha,Pichincucha,24,164573,False,0.67,0.293,6,-6.762,1,0.044,0.905,0.0101,0.107,0.433,111.915,4,guitar
45622,4wc4RVvYxal80hScYCoJAs,Baden Powell;Jimmy Pratt,Powell & Pratt,"Coisa, No. 1",24,189072,False,0.604,0.413,0,-14.851,0,0.035,0.241,0.0,0.159,0.925,81.472,4,guitar
45623,3vexyV4q04kmQSTbw6Kjxm,Little Symphony,Fuente,Abuelo,22,45882,False,0.169,0.166,7,-19.503,1,0.043,0.936,0.981,0.123,0.0392,110.718,4,guitar
45624,1Lo5Jx8QFi21R1V01gLAL9,William Luna,En el Nombre de Jesús,Sáname,24,268772,False,0.541,0.355,9,-14.114,1,0.0282,0.404,0.0,0.0673,0.443,142.043,4,guitar
45625,6mvRL1QGJTOijZdBoKMJDg,Carlos Di Fulvio,ARGENTINISIMA VOL.8 - CANTOS DE LA PROVINCIANIA,Caspi Corral,23,207960,False,0.502,0.303,5,-11.047,0,0.0473,0.838,7.29e-06,0.105,0.612,82.236,3,guitar
45626,5SnatgsCSbX8tQ3WVX9Rhe,The Strings Of The Inkas,"Serie Maravillas: Cuerdas & Vientos Sagrados, Vol. 1",Adiós Pueblo de Ayacucho,22,179040,False,0.523,0.394,2,-9.956,0,0.0592,0.892,0.749,0.101,0.681,136.553,3,guitar
45627,2jPyHCE1rbd6ukIgl7OMtf,William Luna,Tu Amor Ajeno,Me Voy,24,232000,False,0.526,0.44,11,-7.683,0,0.0286,0.765,6.12e-05,0.0819,0.24,75.989,4,guitar
45628,7uFWH9Il83O46mpbdlE3JZ,Los Indios Tacunau,Grandes Exitos,Pero Te Digo Adios,23,144693,False,0.534,0.627,1,-7.609,0,0.0888,0.711,0.000598,0.12,0.736,162.583,3,guitar
45629,2ybN948uZHifojsLs6ZqJA,Brittni Paiva,Island Style Ukulele,Kawika,23,181213,False,0.601,0.512,5,-11.424,1,0.0338,0.856,0.885,0.106,0.536,110.031,4,guitar
45630,24RHU19OMQSwIR93bUguNh,Mexican Music Factory;Felipe Gutierrez,Marimbas Clasicas,La Llorona,22,161191,False,0.816,0.324,9,-11.807,0,0.169,0.567,0.883,0.0917,0.677,164.794,3,guitar
45631,2nGO7x318lETqGSZSyA8ik,Little Symphony,Fuente,Duerme,22,98823,False,0.154,0.191,7,-19.793,1,0.0405,0.919,0.933,0.127,0.036,135.011,4,guitar
45632,49mFUqR4TABgma9LnWmPnH,Manuel Silva,Lo Mejor de Manuel Silva: Pinchincucha,Yerbabuenita,24,154706,False,0.656,0.409,6,-6.933,1,0.052,0.825,0.000352,0.115,0.225,81.613,4,guitar
45633,59708AZI2d9mudYk1GPNlq,João Gilberto,João Gilberto (1973),Eu Quero Um Samba,24,286302,False,0.705,0.228,3,-15.747,1,0.0937,0.761,4.53e-05,0.12,0.482,175.904,4,guitar
45634,2R1xXHwNERBcjiDXjrST7u,Los Indios Tacunau,Zambas From Argentina To The World,Balderrama,23,200066,False,0.57,0.39,6,-11.105,1,0.0729,0.664,0.000306,0.0774,0.469,166.265,4,guitar
45635,6fzNLwBstfMCSa7W58du9O,The Brothers Cazimero,The Best of the Brothers Cazimero Volume 1,Pua Hone,23,226106,False,0.402,0.202,2,-16.526,1,0.0357,0.437,0.0,0.0536,0.412,119.614,4,guitar
45636,4fo5uMhEhxZXntgKgqE0WT,Mikis Theodorakis;Antonis Kalogiannis,70 Chronia Mikis Theodorakis - Mes' Stin Kardia Mou Kleino Tin Ellada,Eimaste Dyo,24,150400,False,0.678,0.607,2,-12.418,0,0.0333,0.772,0.00342,0.322,0.988,119.088,4,guitar
45637,6IARQBFWOm1IMFt6iVozKj,Stavros Xarhakos;Nikos Dimitratos,OST / Rebetiko,Stis Pikras Ta Xeronisia,23,273706,False,0.613,0.402,2,-7.781,1,0.0344,0.795,3.11e-05,0.126,0.476,107.449,4,guitar
45638,1NLgL1gttPIGPIzFWnmCyQ,Edwin Montoya,Mis Éxitos Eternos Vol. 1,Huérfano Pajarillo,24,203026,False,0.691,0.499,7,-10.372,1,0.0458,0.703,6.75e-05,0.115,0.815,77.493,4,guitar
45639,2fZxoOFhWOmKeYPWUcvMdY,Miloš Karadaglić;Ksenija Sidorova;Studioorchester der Europäischen FilmPhilharmonie;Christoph Israel,Collaborations,"Libertango (from ""Cuatro Tangos"") - Latino Gold Version",22,181400,False,0.444,0.289,9,-17.234,0,0.0578,0.868,0.503,0.0806,0.284,153.79,4,guitar
45640,3cZFj2sR9t4jnEGXiA5GqT,João Gilberto,Masters of Jazz Presents João Gilberto (1958 - 1962 Essential Works),Meditaçao,24,106733,False,0.344,0.236,6,-13.908,0,0.032,0.891,0.0,0.145,0.386,156.617,4,guitar
45641,0tyPjel7mi8gvNH3w9ffOx,Allan Holdsworth;Alan Pasqua;Chad Wackerman;Jimmy Haslip,Proto-Cosmos,San Michele Piano Intro,3,198506,False,0.249,0.13,11,-18.093,0,0.0486,0.983,0.8,0.116,0.0376,78.031,3,guitar
45642,3lmGeqAuMWrplZLL378Cng,Cucuza Castiello,Menesunda: Tangolencia Rockera,Imágenes Paganas,22,142253,False,0.516,0.25,9,-13.93,0,0.049,0.87,2.05e-06,0.147,0.393,116.509,4,guitar
45643,66ngC8VlkR3J6g1kBM7vpF,Edwin Montoya,Mis Éxitos Eternos Vol. 2,Olvido Que Nunca Llegas,24,218013,False,0.617,0.534,7,-10.902,1,0.0517,0.717,0.0,0.321,0.806,80.765,4,guitar
